Files,Words,Vocabulary_size
1,265,208
2,636,315
3,1217,494
4,1569,609
5,2203,810
6,3814,1368
7,4048,1413
8,4270,1461
9,4569,1539
10,4969,1652
11,5149,1668
12,5508,1802
13,5818,1857
14,6140,1953
15,6387,2004
16,7051,2193
17,7560,2312
18,7730,2333
19,8102,2418
20,8366,2479
21,11329,3282
22,13817,3757
23,14623,3928
24,14917,3984
25,16212,4357
26,16476,4384
27,16648,4390
28,18020,4694
29,18395,4777
30,18958,4892
31,19393,4980
32,20107,5136
33,20312,5153
34,20944,5265
35,21273,5301
36,22165,5663
37,22410,5699
38,22756,5750
39,24896,6879
40,25312,6949
41,26139,7112
42,26427,7168
43,33521,8911
44,33946,8982
45,34520,9138
46,34921,9168
47,35443,9206
48,35668,9217
49,36006,9243
50,37403,9467
51,38598,10042
52,38906,10086
53,40945,10618
54,41224,10693
55,42427,11315
56,42684,11344
57,44307,11689
58,50477,12389
59,50714,12414
60,53049,12778
61,53429,12857
62,64478,14927
63,64730,14929
64,71201,16434
65,71604,16505
66,72903,16725
67,73325,16831
68,74309,16957
69,75759,17447
70,81223,18451
71,85610,19104
72,89276,19623
73,89528,19646
74,91243,19870
75,91679,19941
76,92767,20081
77,93948,20231
78,98914,21623
79,99869,21836
80,101160,22020
81,104386,22484
82,105229,22630
83,107664,23103
84,107840,23107
85,108479,23225
86,108706,23253
87,109063,23322
88,110087,23515
89,111542,23766
90,112743,23910
91,113142,23948
92,116257,24639
93,117899,24890
94,118181,24903
95,118493,24960
96,119148,25237
97,122427,25676
98,130578,26898
99,136424,27403
100,137266,27668
101,137519,27670
102,137865,27785
103,140613,27995
104,141167,28060
105,141710,28098
106,142860,28356
107,144367,28637
108,151224,29475
109,152209,29565
110,153207,29778
111,154251,30054
112,154521,30066
113,155522,30206
114,155757,30222
115,157455,30499
116,159731,30795
117,160430,30853
118,160984,30917
119,165672,31434
120,166269,31571
121,169756,32209
122,170289,32292
123,171312,32497
124,173020,32747
125,199161,35254
126,203808,35692
127,204110,35778
128,204948,35843
129,206097,36033
130,206388,36047
131,210105,36610
132,210388,36618
133,210728,36640
134,212309,36745
135,213523,36835
136,213796,36860
137,215570,37133
138,216099,37189
139,216787,37311
140,217080,37352
141,217540,37432
142,217971,37459
143,218277,37539
144,219085,37676
145,219580,37695
146,220645,37754
147,221180,37816
148,222173,37847
149,222774,37868
150,223063,37877
151,223401,37920
152,223884,37960
153,225252,38138
154,225932,38200
155,227410,38412
156,228076,38514
157,228600,38545
158,228991,38589
159,229216,38638
160,230047,38762
161,230453,38775
162,231208,38887
163,231560,38920
164,232066,38970
165,233317,39135
166,233606,39145
167,233857,39159
168,235752,39329
169,236180,39361
170,236667,39409
171,236857,39414
172,237943,39575
173,238149,39580
174,238338,39589
175,238853,39867
176,240454,40035
177,241154,40132
178,242435,40383
179,242753,40402
180,243093,40431
181,243380,40458
182,243575,40461
183,243860,40480
184,244459,40622
185,244628,40626
186,244809,40636
187,245305,40661
188,245959,40747
189,246736,40898
190,247263,40954
191,247660,41077
192,247943,41097
193,249843,41224
194,250257,41301
195,250716,41349
196,251125,41401
197,251813,41455
198,252097,41463
199,253408,41514
200,253737,41570
201,254107,41625
202,254315,41641
203,256188,41843
204,256627,41880
205,256954,41901
206,257617,41933
207,257938,41955
208,259936,42160
209,260211,42201
210,260608,42325
211,260849,42336
212,261717,42388
