Files,Words,Vocabulary_size
1,460,276
2,2051,918
3,2298,970
4,2631,1026
5,2982,1084
6,3415,1208
7,4010,1418
8,4500,1524
9,4887,1625
10,8037,2481
11,8954,2738
12,9595,2900
13,9968,2963
14,10591,3121
15,11118,3240
16,11793,3403
17,12174,3458
18,12395,3472
19,12725,3494
20,13183,3593
21,13439,3621
22,13801,3672
23,14277,3820
24,15094,3987
25,20005,5213
26,20414,5289
27,20891,5372
28,21828,5486
29,22396,5567
30,22847,5646
31,23278,5704
32,23568,5742
33,23827,5750
34,25471,6138
35,25687,6146
36,27228,6381
37,27564,6417
38,27784,6433
39,28137,6472
40,28380,6493
41,29512,6654
42,29926,6716
43,30184,6737
44,30633,6778
45,31060,6826
46,31500,6852
47,32208,7011
48,32637,7095
49,33359,7335
50,33972,7414
51,34993,7540
52,35566,7635
53,36257,7728
54,37237,7887
55,37630,7941
56,39445,8403
57,39785,8448
58,41052,8626
59,41316,8650
60,41571,8681
61,41916,8709
62,42186,8724
63,42583,8808
64,42892,8826
65,43166,8839
66,43422,8859
67,43825,8896
68,44140,8930
69,44395,8951
70,44651,8964
71,45230,9071
72,46213,9215
73,46507,9237
74,46818,9272
75,47075,9300
76,47565,9350
77,47960,9398
78,48419,9484
79,50118,9731
80,50832,9817
81,52339,10099
82,52587,10119
83,53005,10165
84,56550,10854
85,56886,10893
86,57431,10993
87,57833,11022
88,58051,11033
89,58225,11040
90,58455,11055
91,59424,11275
92,60020,11357
93,60229,11369
94,60592,11405
95,61690,11684
96,61952,11690
97,62654,11763
98,62972,11797
99,63300,11843
100,63565,11863
101,64091,11953
102,64387,11985
103,64609,12002
104,66152,12211
105,66333,12223
106,66613,12260
107,66926,12288
108,67466,12323
109,67946,12426
110,68845,12543
111,69486,12758
112,70104,12828
113,70486,12880
114,71319,13028
115,71551,13037
116,73556,13288
117,74368,13412
118,77102,13778
119,77662,13828
120,78550,13953
121,80370,14252
122,80671,14275
123,80870,14279
124,81178,14292
125,81839,14432
126,82700,14575
127,82898,14582
128,83120,14605
129,83885,14680
130,84260,14718
131,84679,14807
132,85029,14873
133,85250,14883
134,86910,15127
135,87577,15210
136,88015,15273
137,88933,15396
138,89866,15509
139,90138,15535
140,92285,15968
141,92640,16026
142,93069,16081
143,93579,16139
144,93930,16172
145,95623,16357
146,96315,16440
147,96627,16456
148,96970,16467
149,97307,16487
150,98256,16608
151,98603,16638
152,98791,16652
153,99110,16672
154,99466,16693
155,99818,16721
156,100372,16808
157,100590,16813
158,104111,17280
159,104996,17361
160,106717,17540
161,106971,17563
162,108490,17771
163,108800,17785
164,109695,17888
165,110132,17903
166,111055,17970
167,111461,17990
168,111999,18042
169,112737,18094
170,113003,18107
171,113649,18159
172,114255,18197
173,114710,18230
174,115348,18265
175,115555,18275
176,115863,18347
177,118289,18541
178,118608,18592
179,118868,18614
180,119093,18626
181,119278,18636
182,120900,18805
183,121157,18826
184,121810,18921
185,122172,18983
186,123086,19085
187,123468,19109
188,123995,19150
189,124589,19185
190,124940,19211
191,125168,19222
192,126363,19342
193,127149,19503
194,127408,19514
195,128059,19607
196,128315,19627
197,128597,19644
198,129469,19721
199,131026,19873
200,131315,19880
201,132286,19997
202,133487,20128
203,133936,20203
204,135720,20504
205,136121,20525
206,136983,20647
207,137496,20714
208,137869,20738
209,138199,20808
210,138749,20906
211,139055,20918
212,139297,20925
213,145113,21705
214,145616,21736
215,145964,21756
216,147183,21890
217,147599,21931
218,148315,21993
219,148565,22019
220,148936,22044
221,149272,22066
222,149469,22078
223,149775,22105
224,149980,22119
225,150234,22136
226,150555,22152
227,151460,22249
228,152163,22319
229,153856,22513
230,155950,22696
231,156428,22731
232,156804,22814
233,157078,22832
234,157412,22861
235,157756,22899
236,157950,22905
237,158515,22997
238,159042,23175
239,159425,23207
240,160197,23303
241,160562,23326
242,163771,23601
243,164250,23640
244,164627,23656
245,166268,23849
246,166733,23871
247,168212,23937
248,172351,24305
249,172833,24323
250,173122,24330
251,173776,24392
252,174001,24407
253,174308,24439
254,174907,24475
255,175340,24483
256,175835,24514
257,176603,24570
258,176809,24574
259,178889,24836
260,179105,24846
261,180205,24964
262,180458,25001
263,180994,25098
264,181455,25268
265,181701,25281
266,182562,25328
267,182861,25342
268,183086,25363
269,183460,25458
270,183869,25477
271,184155,25507
272,184863,25537
273,185131,25584
274,185561,25600
275,185806,25605
276,186156,25629
277,186608,25683
278,186932,25715
279,187407,25741
280,187861,25792
281,188400,25837
282,188665,25842
283,191245,26041
284,191570,26089
285,191930,26112
286,193647,26247
287,194251,26314
288,195084,26395
289,195464,26491
290,195748,26500
291,196028,26528
